TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, OI
BAGFILMS,20231006, 5.40, 5.50, 5.35, 5.40, 92239, -
BAHETI,20231006, 190.00, 190.00, 177.00, 178.00, 46500, 31500
BAIDFIN,20231006, 27.20, 27.90, 25.85, 26.00, 2811149, 696977
BAJAJ-AUTO,20231006, 5120.00, 5120.00, 4997.50, 5014.60, 279352, 123136
BAJAJCON,20231006, 231.00, 232.50, 228.20, 231.65, 169330, 91558
BAJAJELEC,20231006, 1077.90, 1077.90, 1055.00, 1060.70, 24019, 13314
BAJAJFINSV,20231006, 1559.35, 1640.70, 1551.05, 1634.65, 7384628, 2373603
BAJAJHCARE,20231006, 475.80, 481.20, 467.50, 469.85, 145014, 63086
BAJAJHIND,20231006, 25.60, 26.05, 25.40, 25.70, 11269360, 4386523
BAJAJHLDNG,20231006, 6750.00, 6874.40, 6701.15, 6843.70, 41262, 15087
BAJFINANCE,20231006, 7850.00, 8192.00, 7845.00, 8168.55, 2145034, 699722
BALAJITELE,20231006, 72.20, 73.60, 70.60, 71.85, 377623, 173558
BALAMINES,20231006, 2215.45, 2223.05, 2192.65, 2216.90, 47930, 22263
BALAXI,20231006, 443.45, 443.45, 435.00, 438.00, 1745, 1292
BALKRISHNA,20231006, 28.40, 29.30, 28.00, 28.45, 29116, 15481
BALKRISIND,20231006, 2598.00, 2598.00, 2553.85, 2562.05, 77637, 16281
BALMLAWRIE,20231006, 148.60, 149.55, 147.10, 147.45, 292371, 151022
BALPHARMA,20231006, 93.40, 95.40, 93.40, 94.30, 16360, 10655
BALRAMCHIN,20231006, 428.90, 433.75, 425.05, 430.25, 1230479, 212870
BANARBEADS,20231006, 92.00, 93.30, 91.00, 91.95, 28103, 10762
BANARISUG,20231006, 2612.45, 2612.45, 2565.15, 2574.10, 1026, 763
BANCOINDIA,20231006, 500.95, 508.00, 496.25, 501.55, 70078, 38577
BANDHANBNK,20231006, 250.80, 255.00, 247.65, 252.90, 7018670, 3006017
BANG,20231006, 50.10, 51.25, 50.00, 50.30, 25267, 15274
BANKA,20231006, 72.65, 72.90, 71.05, 71.70, 20611, 17576
BANKBARODA,20231006, 214.00, 216.00, 212.40, 215.30, 14552427, 5437366
BANKBEES,20231006, 452.86, 453.88, 451.03, 452.67, 232630, 145528
BANKETF,20231006, 443.99, 445.88, 443.31, 445.01, 3097, 2956
BANKINDIA,20231006, 110.00, 110.50, 106.85, 108.55, 10844920, 2998454
BANSWRAS,20231006, 153.80, 155.90, 153.50, 155.40, 32089, 20167
BARBEQUE,20231006, 765.00, 777.00, 746.90, 752.40, 160025, 86017
BASF,20231006, 2550.00, 2607.00, 2470.00, 2506.75, 39746, 15145
BASILIC,20231006, 283.00, 294.20, 280.00, 289.80, 82800, 45600
BASML,20231006, 47.25, 48.30, 47.25, 47.80, 52457, 33644
BATAINDIA,20231006, 1624.95, 1630.45, 1612.25, 1623.60, 111347, 42267
BAYERCROP,20231006, 5317.45, 5350.00, 5270.00, 5284.35, 7107, 3344
BBL,20231006, 3700.00, 3861.40, 3688.10, 3842.90, 21642, 11870
BBOX,20231006, 215.90, 219.75, 207.20, 212.75, 442687, 173074
BBTC,20231006, 1239.70, 1254.90, 1224.05, 1243.30, 44811, 14897
BBTCL,20231006, 248.00, 253.45, 244.45, 246.95, 3718, 1786
BCG,20231006, 18.85, 19.05, 17.85, 17.85, 16103835, 10101095
BCLIND,20231006, 533.00, 546.70, 532.15, 536.75, 267662, 136585
BCONCEPTS,20231006, 476.15, 476.15, 473.00, 473.00, 3360, -
BDL,20231006, 1006.60, 1012.65, 991.05, 995.90, 436658, 182772
BEARDSELL,20231006, 37.20, 38.70, 36.35, 38.70, 114514, -
BECTORFOOD,20231006, 1047.00, 1047.00, 1027.10, 1038.30, 38272, 23088
BEDMUTHA,20231006, 145.00, 145.40, 144.85, 145.40, 86457, -
BEL,20231006, 139.00, 140.50, 138.65, 139.00, 4987359, 2869913
BEML,20231006, 2328.90, 2350.55, 2280.00, 2332.70, 227179, 65499
BEPL,20231006, 94.00, 94.40, 92.25, 93.25, 691234, 369997
