TICKERCODE, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
508494,20231006,52.90,52.90,51.02,51.85,665
508571,20231006,99.00,99.00,99.00,99.00,7
508664,20231006,22.36,22.36,20.50,21.24,13550
508670,20231006,3430.00,3450.00,3430.00,3450.00,10
508807,20231006,713.75,733.40,705.00,720.80,804
508875,20231006,472.05,486.00,472.05,476.15,98
508905,20231006,41.23,42.87,41.01,42.84,1537
508906,20231006,1137.85,1148.60,1132.40,1137.85,483
508918,20231006,25.10,25.10,23.01,23.71,4379
508922,20231006,13.23,13.38,12.35,12.82,28586
508941,20231006,471.90,471.90,460.00,467.25,2041
508954,20231006,76.68,76.68,68.25,69.76,9061
508956,20231006,6.85,6.85,6.85,6.85,2651
508969,20231006,6.38,6.55,6.38,6.38,816378
508980,20231006,4.30,4.30,4.09,4.28,9736
508996,20231006,0.87,0.94,0.87,0.89,5639
509020,20231006,16.47,16.49,16.02,16.49,344224
509026,20231006,66.66,67.25,66.66,67.25,3043
509038,20231006,11.11,11.31,10.92,11.28,778
509040,20231006,87.50,87.50,83.10,83.71,1802
509048,20231006,37.80,38.50,37.80,38.50,46597
509051,20231006,2.01,2.05,1.96,1.99,2084118
509053,20231006,18.20,18.47,17.55,18.24,136338
509055,20231006,90.98,92.60,88.00,90.06,63981
509073,20231006,19.00,19.00,18.05,18.94,9521
509084,20231006,71.73,71.73,71.73,71.73,27
509162,20231006,138.95,138.95,136.60,137.50,5201
509196,20231006,122.35,127.95,121.95,123.65,891
509220,20231006,39.74,39.95,39.25,39.48,6436
509243,20231006,3471.95,3490.40,3404.00,3484.90,322
509423,20231006,18.96,19.89,18.03,18.71,18753
509438,20231006,5800.00,5888.50,5750.05,5829.90,131
509449,20231006,36.37,38.14,36.37,38.10,193
509470,20231006,12002.00,12482.00,12002.00,12250.00,29
509472,20231006,394.80,395.00,380.00,381.65,664
509486,20231006,238.80,244.00,234.00,237.00,3726
509525,20231006,1130.00,1150.50,1129.20,1133.25,3955
509546,20231006,53.99,53.99,51.23,53.47,3775
509563,20231006,8.50,8.99,8.50,8.97,653
509597,20231006,444.00,454.95,420.15,428.55,122
509631,20231006,1776.10,1807.95,1755.70,1777.70,9106
509635,20231006,412.70,416.05,410.00,412.20,369
509692,20231006,256.40,256.40,247.15,249.70,2379
509709,20231006,82.99,83.10,81.11,82.09,13363
509715,20231006,110.80,113.00,108.60,109.30,11865
509760,20231006,23.99,27.94,23.34,23.75,19191
509835,20231006,14.79,15.19,14.36,15.04,1800
509874,20231006,163.00,165.40,162.50,163.90,11571
509895,20231006,232.00,232.00,222.80,232.00,65
509930,20231006,3890.00,4024.45,3885.05,3911.70,6492
509960,20231006,853.20,915.00,853.20,871.95,128
509966,20231006,3407.00,3441.80,3350.00,3380.80,613
510245,20231006,6.06,6.16,5.55,6.06,211439
511000,20231006,12.57,12.61,12.02,12.55,28084
511012,20231006,0.73,0.76,0.73,0.75,805478
511016,20231006,4.00,4.00,3.56,3.83,18748
511018,20231006,30.24,31.45,30.24,30.25,1020
511034,20231006,668.85,687.85,663.90,682.50,11156
511066,20231006,34.95,37.99,34.00,37.48,81523
511092,20231006,28.05,28.05,27.50,28.02,39500
511108,20231006,143.40,146.75,142.85,145.45,2477
511110,20231006,9.81,9.81,9.81,9.81,305
511116,20231006,1.38,1.38,1.29,1.31,464321
511122,20231006,36.41,38.33,34.69,38.33,377
511131,20231006,13.50,14.25,13.50,13.70,5767
511147,20231006,50.56,50.56,45.76,50.09,206
511153,20231006,29.92,30.77,28.60,29.91,3886
511176,20231006,32.00,32.00,32.00,32.00,1
511187,20231006,1.78,1.78,1.78,1.78,280
511194,20231006,26.90,27.10,26.85,27.10,1656
511208,20231006,7.89,8.00,7.81,7.95,44737
511218,20231006,1830.00,1863.45,1830.00,1847.45,16763
511246,20231006,4.68,4.68,4.67,4.68,6695
511355,20231006,12.39,13.00,11.78,11.80,6537
511359,20231006,51.16,51.17,48.16,49.33,4315
511377,20231006,22.70,22.90,22.70,22.72,1200
511391,20231006,30.50,30.50,29.23,30.50,1148
511401,20231006,14.21,14.21,14.21,14.21,5
511411,20231006,26.85,27.54,26.85,27.54,155
511441,20231006,20.79,20.79,19.48,20.60,1671
511447,20231006,3.85,3.92,3.66,3.69,253433
511451,20231006,5.31,5.79,5.28,5.28,8954
511463,20231006,15.90,15.90,15.11,15.56,12011
511473,20231006,36.50,36.50,35.65,36.15,10190
511493,20231006,30.38,32.14,30.38,31.04,9427
511501,20231006,39.90,42.29,34.44,35.02,106255
511507,20231006,23.05,23.05,22.80,22.80,16
511509,20231006,38.47,38.47,36.26,37.17,18931
511523,20231006,19.50,20.66,18.70,20.66,200258
511525,20231006,2.05,2.10,2.02,2.06,75811
511533,20231006,68.26,68.26,68.26,68.26,192
511535,20231006,27.50,27.50,26.99,26.99,529
511543,20231006,10.68,10.74,9.80,10.74,171
511549,20231006,130.20,142.65,126.00,132.65,4860
511557,20231006,1.20,1.27,1.17,1.23,3866256
511559,20231006,68.75,72.80,67.95,69.50,10874
511563,20231006,22.04,22.04,22.04,22.04,850
511571,20231006,115.30,120.00,115.30,120.00,2395
511585,20231006,1.66,1.66,1.66,1.66,1000
511589,20231006,71.00,72.00,71.00,71.99,5488
511593,20231006,5.71,6.30,5.71,5.73,1840
511601,20231006,13.98,13.98,12.52,12.83,5638
511609,20231006,28.92,29.96,28.92,29.06,2041
511626,20231006,15.55,15.55,15.55,15.55,842
511628,20231006,475.00,475.00,460.00,463.30,774
511630,20231006,3.10,3.20,3.05,3.19,10092
511644,20231006,102.00,106.05,102.00,106.05,5751
511654,20231006,19.47,19.47,18.75,18.75,1702
511658,20231006,86.80,88.99,85.33,88.49,1316
511672,20231006,57.62,64.80,57.62,63.54,813001
511688,20231006,7.15,7.15,7.15,7.15,1001
511692,20231006,27.90,29.09,27.83,27.85,310
511700,20231006,50.85,50.85,50.85,50.85,279
511702,20231006,29.00,29.00,27.18,27.18,1035
511710,20231006,1.43,1.50,1.40,1.40,12252
511712,20231006,17.50,18.30,16.63,16.63,1741
511714,20231006,29.10,32.70,29.10,31.14,877
511724,20231006,27.47,27.80,25.87,26.03,209944
511736,20231006,1.59,1.59,1.56,1.56,47009
511740,20231006,82.00,83.00,82.00,82.00,201
511754,20231006,350.00,354.00,350.00,354.00,6000
511756,20231006,25.96,26.47,25.96,26.47,86
511758,20231006,44.00,44.00,44.00,44.00,3
511760,20231006,0.63,0.64,0.61,0.63,284549
511764,20231006,39.00,39.90,38.02,38.59,139
511768,20231006,345.00,354.00,335.00,341.60,4742
512008,20231006,249.75,255.65,249.75,255.00,74406
512018,20231006,2.20,2.20,2.11,2.13,74507
512020,20231006,2829.90,2830.00,2730.05,2814.15,72
512024,20231006,46.17,46.17,46.17,46.17,1
512036,20231006,116.95,116.95,116.95,116.95,1
