TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
M&M-I,20231005,1537.25,1551.75,1520.25,1544.3,4853,14968800
M&M-II,20231005,1538.85,1561.6,1531.35,1556.25,149,223300
M&M-III,20231005,1555,1572.8,1555,1567.05,7,17500
M&MFIN-I,20231005,288.75,290.95,282.9,284,2440,38920000
M&MFIN-II,20231005,285.25,286.7,279.7,280.55,226,2396000
M&MFIN-III,20231005,284,284.25,278,279.45,36,392000
MANAPPURAM-I,20231005,144.65,145.75,139.5,140.7,411,71238000
MANAPPURAM-II,20231005,143.4,143.4,142.3,142.3,2,2664000
MANAPPURAM-III,20231005,0,0,0,143,0,66000
MARICO-I,20231005,565,565,544.3,544.9,5906,12766800
MARICO-II,20231005,563.6,563.6,546.5,546.85,149,176400
MARICO-III,20231005,551.1,555.9,551.1,553.4,6,6000
MARUTI-I,20231005,10210,10311.55,10152.15,10265.6,7650,2618300
MARUTI-II,20231005,10298.5,10383.4,10231.95,10341.4,284,41400
MARUTI-III,20231005,10350,10440,10320,10380.2,27,4900
MCDOWELL-N-I,20231005,995.75,1018.8,994.65,1016,3658,10046400
MCDOWELL-N-II,20231005,1004.5,1025,1004.5,1023.6,79,77700
MCDOWELL-N-III,20231005,1022.5,1027.5,1022.5,1027.5,2,4900
MCX-I,20231005,1948,1974.7,1915.3,1958.8,3987,2926000
MCX-II,20231005,1959.7,1985,1929,1971.25,107,139200
MCX-III,20231005,0,0,0,1960.85,0,3200
METROPOLIS-I,20231005,1442.05,1461.1,1424,1435.35,1177,1646800
METROPOLIS-II,20231005,1463.4,1466.75,1434,1444.25,33,52400
METROPOLIS-III,20231005,1445.55,1451.8,1445.55,1451.8,2,3200
MFSL-I,20231005,893.05,923.2,890.05,916.6,4140,8964800
MFSL-II,20231005,900.65,928.7,900.55,923.95,37,40800
MFSL-III,20231005,0,0,0,922.6,0,0
MGL-I,20231005,1130.05,1132.5,1111.5,1118.3,1435,2600000
MGL-II,20231005,1133,1133,1114.3,1122.8,32,59200
MGL-III,20231005,1141.8,1141.8,1120,1126.35,5,10400
MOTHERSON-I,20231005,93.85,94.15,92.7,93.05,919,80890300
MOTHERSON-II,20231005,94.7,94.85,93.7,93.8,41,2229400
MOTHERSON-III,20231005,94.55,95.25,94.5,94.5,7,99400
MPHASIS-I,20231005,2430.95,2472.55,2420.3,2462.2,2930,2399375
MPHASIS-II,20231005,2429.15,2474.3,2429.15,2462.5,160,34650
MPHASIS-III,20231005,2455.75,2467.6,2455.75,2467.25,3,2200
MRF-I,20231005,107499.85,107898.6,106850,107241.2,500,43490
MRF-II,20231005,108000,108150,107500,107725.8,19,1100
MRF-III,20231005,0,0,0,108084.05,0,70
MUTHOOTFIN-I,20231005,1208.95,1226.45,1192.35,1197.25,1454,6624750
MUTHOOTFIN-II,20231005,1202.9,1202.9,1182.9,1187,57,83600
MUTHOOTFIN-III,20231005,1180,1186,1178,1184.1,12,11550
NATIONALUM-I,20231005,95.4,95.9,94.35,94.8,704,57525000
NATIONALUM-II,20231005,95.85,96.25,95,95.25,36,2542500
NATIONALUM-III,20231005,95.85,95.85,95.85,95.85,2,97500
NAUKRI-I,20231005,4085.05,4240.3,4074.25,4222.85,3258,1542600
NAUKRI-II,20231005,4099.15,4261,4099.15,4246.2,120,24900
NAUKRI-III,20231005,4170,4281.35,4170,4281.35,6,900
