Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
949967,ECL Finance Limited,ECLB7D401,ECL Finance Ltd,Delisted,F ,100000,INE804I07TQ3, ,Debentures and Bonds,-,-,-,-
949968,ECL Finance Limited,ECLB7E402,ECL Finance Ltd,Delisted,F ,100000,INE804I07TR1, ,Debentures and Bonds,-,-,-,-
949969,ECL Finance Limited,ECLE6E401,ECL Finance Ltd,Delisted,F ,100000,INE804I07TU5, ,Debentures and Bonds,-,-,-,-
949970,ECL Finance Limited,ECLB6B402,ECL Finance Ltd,Delisted,F ,100000,INE804I07TT7, ,Debentures and Bonds,-,-,-,-
949971,ECL Finance Limited,ECLD4B401,ECL Finance Ltd,Delisted,F ,100000,INE804I07TS9, ,Debentures and Bonds,-,-,-,-
949972,Karvy Financial Services Limited,KARVYB37,Karvy Financial Services Ltd,Delisted,F ,1000000,INE308L07393, ,Debentures and Bonds,-,-,-,-
949973,Sterlite Technologies Limited.,1145STL17A,Sterlite Technologies Ltd.,Delisted,F ,1000000,INE089C07034, ,Debentures and Bonds,-,-,-,-
949974,Sterlite Technologies Limited.,1145STL16B,Sterlite Technologies Ltd.,Delisted,F ,1000000,INE089C07042, ,Debentures and Bonds,-,-,-,-
949975,Ashiana Landcraft Realty Private Limited,8ALRPL21A,Ashiana Landcraft Realty Pvt Ltd,Suspended,F ,1000,INE509P07058, ,Debentures and Bonds,-,-,-,-
949976,Ashiana Landcraft Realty Private Limited,8ALRPL21B,Ashiana Landcraft Realty Pvt Ltd,Suspended,F ,261,INE509P07066, ,Debentures and Bonds,-,-,-,-
949977,Kotak Mahindra Prime Limited,100213KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CO1, ,Debentures and Bonds,-,-,-,-
949978,Kotak Mahindra Prime Limited,100501KMP15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CP8, ,Debentures and Bonds,-,-,-,-
949979,Kotak Mahindra Prime Limited,100592KMP17,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7CR4, ,Debentures and Bonds,-,-,-,-
949980,JSW Investments Private Limited,0JSWIPL15A,JSW Investments Pvt Ltd,Delisted,F ,1000000,INE257L07087, ,Debentures and Bonds,-,-,-,-
949981,JSW Investments Private Limited,0JSWIPL16B,JSW Investments Pvt Ltd,Delisted,F ,1000000,INE257L07095, ,Debentures and Bonds,-,-,-,-
949982,JSW Investments Private Limited,0JSWIPL18C,JSW Investments Pvt Ltd,Delisted,F ,1000000,INE257L07111, ,Debentures and Bonds,-,-,-,-
949983,O B Infrastructure Limited,109OBIL21A,O B Infrastructure Ltd,Delisted,F ,100000,INE129L07013, ,Debentures and Bonds,-,-,-,-
